"DateTime";"Voice"
"2021-09-18 00:00:00";5709
"2021-09-19 00:00:00";2905
"2021-09-20 00:00:00";3826
"2021-09-21 00:00:00";4752
"2021-09-22 00:00:00";3802
"2021-09-23 00:00:00";2907
"2021-09-24 00:00:00";2344
"2021-09-25 00:00:00";3235
"2021-09-26 00:00:00";1791
"2021-09-27 00:00:00";4034
"2021-09-28 00:00:00";3657
"2021-09-29 00:00:00";4679
"2021-09-30 00:00:00";4290
"2021-10-01 00:00:00";3541
"2021-10-02 00:00:00";2395
"2021-10-03 00:00:00";1049
"2021-10-04 00:00:00";3230
"2021-10-05 00:00:00";4765
"2021-10-06 00:00:00";3278
"2021-10-07 00:00:00";3754
"2021-10-08 00:00:00";1492
"2021-10-09 00:00:00";3513
"2021-10-10 00:00:00";3209
"2021-10-11 00:00:00";3726
"2021-10-12 00:00:00";2802
"2021-10-13 00:00:00";5108
"2021-10-14 00:00:00";3528
"2021-10-15 00:00:00";3856
"2021-10-16 00:00:00";5383
"2021-10-17 00:00:00";3028
"2021-10-18 00:00:00";3142
